,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
NR-AR-LBD,0.017992376960784626,0.37261007173739646,3.9424248387210126,0.18008006646649813,0.11097888737552578,2.7200166747772494,0.026943348860781223,1.6292116139508577,0.3980257832162733,2.5329960546711012,0.00608756663728056,0.37287716814168737,0.7069162586632532,1.4516639146290498,1.1155715257242194,3.9048518465022846,2.664246639286642,3.1306901366094166,4.00456102182448,0.95390965655703,3.026327785634966,2.9625085072736796,0.707157319976105,0.048576923451824,0.5728044282342721,5.925391320676593,0.8676490110599239,0.15223122808213152,1.0890668507250605,1.1588570579601771,0.08373609493839496,7.901308087254201,0.3967552160668808,1.5370864212183566,0.4129370738955942
NR-AhR,0.11234587292177729,0.15687094600521242,1.5485041410002331,3.5669761113417553,0.06545062546999078,0.9686432442242533,2.406169605227931,3.8022549435380455,0.05945963075167966,0.04120983239668074,0.16817367135313332,1.1165396801588579,1.5396326492726007,0.43544153673405406,2.4541980831395342,0.3603591953139139,1.5129554324800099,0.06574554041922932,0.9772142666352011,0.08760585696495364,2.0695448683909268,0.1801403485672669,0.42493377391314635,4.034363674035186,7.467899936647242,4.007535945671195,1.8849740442874396,1.0498933028355717,1.6546855893561518,0.9487758150784373,17.249622895514854,0.767896801914913,0.5619294667037483,1.2094143899814103,0.1701541497203812
NR-Aromatase,0.012766415224308257,0.0014000116875961996,1.2427180112187444,1.068112698653184,0.25227033252151587,0.4801017332987978,1.490932720373721,4.3626542254149925,0.0001833661721418077,1.734777303365345,0.07657799237654149,2.7685796956545774,1.1992537000903474,3.834095159161687,4.972205205772938e-05,7.483573304681281,2.1648779183527616,0.06296546285153716,1.4808943562301267,3.7213081241504504,3.5562839725532793,0.4283735648307859,1.8183637581941616,9.994435220725403,9.615213309656685,0.29310526861927855,0.0007491497586134936,0.9429517057342117,0.00139884419977224,3.0654247107199724,4.669943818302431,1.0124444776564285,0.537472048184635,0.05277622339282102,0.8479701457815223
NR-ER,0.14525163975520441,0.8004360950350607,1.2057647605436583,0.5393958386001954,5.250818720777978,1.1618417087267443,0.0007416873788073274,0.1195917659407257,1.1136885483823953,1.6029290009330281,9.234047161956829,0.006192697943604392,0.22457744503611593,2.272870298742503,0.002635710304006092,0.24859552603074572,0.07571474013596219,0.07933537954155676,0.8727339927361479,1.705924989462035,0.2257850251671266,0.06408766137780132,0.4801000276825577,2.796120177488294,1.131522083947184,0.011837510622606087,2.4492130562282317,0.08288498840617678,2.080568777007082,0.01603592894363966,0.6586858699237901,1.7574044021154422,0.6300615304971818,2.3265387153344177,1.8479230413725345
NR-ER-LBD,0.22997941569901495,0.004131324282548838,0.38252720382707656,0.2783012320590039,2.609873005999801,0.18393558571876065,2.4701199951789614,1.3221237177001093,0.273290005979041,0.08817720118109725,0.18015532032628226,4.277306508588776,3.510971376888631,6.148429912377037,0.4310784388062901,16.132416955818734,0.7286234930193318,0.06222306651592867,0.7697540414877496,0.324388820889982,1.4393551950205683,0.7162900105939025,3.8970056610282358,0.04006278428115226,1.5142594035802888,5.232692212607964,0.9453450778138769,3.1202388609629277,0.05602257035013768,0.04974510922463948,4.198169785099193,0.3819830437413604,0.7313117778917476,4.625839864028352,0.37344013432833195
NR-PPAR-gamma,0.3985576766307063,0.03688364091231141,1.353361302934744,2.2658844189290592,0.6598689838063304,1.834607041912884,0.7072529645480731,0.16532026193845795,2.661157630435995,2.030273012144512,0.17236892052032027,0.16122964337949988,3.029824928124224,0.20254212658722834,0.4460401815980516,1.0360762926475535,3.0221399366410897,8.3178599157343,0.8164204620911863,0.0024394356584915284,0.2498205597907839,0.17500546373210318,5.044344028175654,0.6212573952885037,0.8238307732151032,7.83076931909104,0.15739595017378036,2.6290570896326937,4.448325696557119,1.2855550749772484,4.604349325853869,0.4854483358826236,0.1793166345247915,1.2058319546726464,0.0028504360719603843
SR-ARE,1.2200180277374915,0.20208182240572928,3.668818387024384,0.9922915083002334,0.705057931601869,0.2143855989990103,0.8096342539061875,1.6846834552548478,0.16742992248064947,0.5662903878389253,0.3923782893155123,1.931096163255947,0.8375112880050449,0.5191399832521639,1.1980151993788153,1.7003513816900822,1.7314200368177008,0.1329153941372026,1.1468535332586185,1.8297545660096768,0.6202852948424177,0.9645989739730267,1.6312506086844134,4.2658254361240235,0.007292844192986739,0.46207652362758045,1.0771559422759207,0.4475404801774943,0.583091531967687,2.8458693368471306,0.08298801527636616,2.3917428803371825,0.1232871197622041,0.5483466330203312,1.531013814791003
SR-ATAD5,0.1862721757597248,0.0706272133633422,2.865869534385923,0.0003406769596387318,2.1383052460145766,1.879953422530723,0.33101276662547174,5.176975970432787,0.039956054163457454,2.6440353183650496,0.06701196435424481,0.353544197996533,0.010738604161574641,0.9222289906598821,2.1354075927151452,0.0008621216800142025,0.0005432379198310037,0.05890168573890879,2.9684148298054853,7.599776278308615,2.422648903559905,0.19127953546050114,0.1358511612266176,0.2052164491613105,0.8909392550186357,2.3883864340028262,2.673245140517096,0.465812836448633,1.0173464825449465,0.0832524550064808,0.11455851333032324,1.256379249168129,1.2294227192336864,5.143889368370588,4.991455009274468
SR-HSE,0.00010243787163368402,0.19718641156994082,3.1915418810100427,0.5884250297510772,1.1334466718747347,0.6052289608296425,5.158522887994364,1.946182569503421,3.2771898249384526,0.8298903626226888,3.639558099758586,3.5591583776987727,0.6865034402247626,0.1286613830093498,0.645306349861644,0.006822584554813308,0.4662698921994552,0.0005515475439762381,0.9711441384923827,0.2988414043880593,0.11237718191891813,2.468373467157049,0.12922393250778935,0.06705821037432459,0.08424206914389465,0.6325534720518018,0.012679401960006506,0.014823495615895707,0.005707467159085353,1.3959701113209229,2.4773119997276223,0.39919955243586475,0.290126434141676,0.8153424199254534,0.7133003027096457
SR-MMP,0.26323957742906784,2.567599349199721,0.5601044265916553,0.14848247061475295,3.9357368106781276,0.002490877096229027,0.006396523404473103,2.2555847370365543,0.0296562343824728,0.49873702389563307,0.01497641685855838,5.355016147684748,0.12112018332570056,3.1115235235969223,0.31049040185257093,2.3931505522217074,1.09557779598747,0.4828553908462087,2.961893777068035,0.9445232794539852,0.189952538324964,3.598468146801687,3.044744502949553,0.19258708869048344,0.3794243392113542,0.14782025014066674,1.2186582812142546,0.14126328464830665,2.3978690560843265,0.028966650429893052,0.11153853292579612,0.2394026776870078,1.0545623371317046,0.0011928913254699012,0.0005387660846880887
